;premiery;koopkrajowe;koopmiedzynarodowe;pub;nagrody;beczki
AleBrowar;9;3;5;2;0;0
Artezan;38;0;1;1;0;5
BroKreacja;31;2;1;1;2;11
FunkyFluid;8;0;0;0;0;0
Golem;35;6;2;0;0;10
InneBeczki;13;2;0;1;0;0
Maryensztadt;27;0;0;1;2;7
Olimp;11;0;0;1;0;2
Pinta;24;1;10;1;1;3
PiwnePodziemie;33;2;1;0;0;2
Piwojad;6;0;0;0;1;1
Podgorz;14;0;0;0;3;2
PracowniaPiwa;50;2;5;0;0;6
Raduga;9;0;0;0;0;0
ReCraft;18;0;1;0;0;4
Rockmill;30;2;0;0;3;4
StuMostow;21;0;13;1;0;3
TrzechKumpli;12;2;0;0;10;3
Widawa;13;2;2;1;4;2
ZiemiaObiecana;36;0;0;0;0;0
